Unnamed: 0,Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,Location,Area,Depth,Width,longitude,latitude,altitude,Dangerous
0,12/23/2009,-2.0,-8.0,0.2,9.6,2.0,2,43,12:30 PM,12:05 AM,8:40 AM,6:01 PM,-4.0,-9.0,-4.0,-9.0,23.0,65.0,99.0,0.3,1015.0,-2.0,7.0,327,14.0,0,Dutch Draw,2.0,80,-109.4192889,40.9361428,0,True
1,1/25/2010,-2.0,-16.0,0.0,5.0,1.0,1,68,1:40 PM,4:14 AM,8:35 AM,6:32 PM,-9.0,-12.0,-9.0,-12.0,11.0,86.0,99.0,0.0,1024.0,-2.0,0.0,240,6.0,0,Dutch Draw,3.0,20,-109.4192889,40.9361428,0,False
2,2/28/2010,0.0,-5.0,0.7,7.2,1.0,1,100,7:43 PM,7:38 AM,7:56 AM,7:13 PM,-3.0,-5.0,-2.0,-5.0,13.0,77.0,99.0,0.8,1011.0,0.0,2.0,262,7.0,0,Bonanza Flats,1.0,40,-109.1773388,40.0210781,0,False
4,11/21/2010,3.0,-5.0,1.7,9.9,1.0,1,100,5:55 PM,8:18 AM,8:13 AM,6:01 PM,-3.0,-4.0,-1.0,-4.0,19.0,45.0,87.0,2.0,1005.0,3.0,6.0,191,12.0,0,West Ridge 1,2.0,80,-110.400017,39.602549,0,True
5,11/21/2010,3.0,-5.0,1.7,9.9,1.0,1,100,5:55 PM,8:18 AM,8:13 AM,6:01 PM,-3.0,-4.0,-1.0,-4.0,19.0,45.0,87.0,2.0,1005.0,3.0,6.0,191,12.0,0,West Ridge 3,2.0,125,-110.400017,39.602549,0,True
6,12/23/2010,4.0,-2.0,0.2,9.6,1.0,1,80,9:00 PM,10:27 AM,8:40 AM,6:01 PM,0.0,-1.0,1.0,-1.0,10.0,59.0,97.0,0.3,1016.0,4.0,2.0,164,5.0,0,Bonanza Flats,0.833333333,40,-109.1773388,40.0210781,0,False
7,1/1/2011,-12.0,-29.0,0.0,9.6,1.0,1,15,6:20 AM,3:47 PM,8:43 AM,6:07 PM,-23.0,-26.0,-22.0,-26.0,9.0,33.0,99.0,0.0,1034.0,-12.0,1.0,222,5.0,0,Dutch Draw,0.75,45,-109.4192889,40.9361428,0,False
8,4/19/2011,10.0,0.0,0.0,11.6,3.0,3,84,10:33 PM,7:23 AM,6:38 AM,8:03 PM,-1.0,3.0,5.0,3.0,14.0,34.0,68.0,0.0,1010.0,10.0,7.0,283,10.0,0,Flagstaff Ridge,0.833333333,35,-111.3121191,39.0702482,0,False
9,4/21/2011,12.0,1.0,0.0,11.6,3.0,3,69,No moonrise,9:10 AM,6:35 AM,8:05 PM,1.0,4.0,6.0,4.0,20.0,31.0,71.0,0.7,1008.0,12.0,9.0,237,14.0,0,Flagstaff Ridge,0.666666667,100,-111.3121191,39.0702482,0,False
10,3/4/2012,6.0,-4.0,0.0,11.6,2.0,2,77,3:34 PM,5:11 AM,7:49 AM,7:18 PM,-5.0,-3.0,0.0,-3.0,16.0,8.0,70.0,0.0,1028.0,6.0,10.0,255,9.0,0,Flagstaff Ridge,2.5,350,-111.3121191,39.0702482,0,True
11,12/19/2012,-6.0,-12.0,0.9,8.7,2.0,2,38,12:49 PM,12:27 AM,8:38 AM,5:59 PM,-12.0,-15.0,-8.0,-15.0,23.0,37.0,77.0,1.0,1021.0,-6.0,9.0,209,15.0,0,Dutch Draw,2.5,300,-109.4192889,40.9361428,0,True
12,3/4/2013,2.0,-8.0,0.0,11.6,2.0,2,46,2:02 AM,12:02 PM,7:50 AM,7:17 PM,-6.0,-6.0,-1.0,-6.0,21.0,10.0,74.0,0.0,1017.0,2.0,10.0,314,13.0,0,Dutch Draw,0.666666667,40,-109.4192889,40.9361428,0,False
13,12/19/2013,-1.0,-13.0,1.2,8.7,2.0,2,85,8:28 PM,9:59 AM,8:38 AM,5:59 PM,-8.0,-10.0,-7.0,-10.0,14.0,32.0,89.0,1.4,1007.0,-1.0,8.0,195,8.0,0,Dutch Draw,2.0,40,-109.4192889,40.9361428,0,False
14,12/20/2013,-2.0,-13.0,0.0,9.6,2.0,2,77,9:24 PM,10:35 AM,8:39 AM,6:00 PM,-10.0,-13.0,-8.0,-13.0,20.0,17.0,85.0,0.1,1014.0,-2.0,10.0,318,11.0,0,Dutch Draw,2.5,100,-109.4192889,40.9361428,0,True
15,2/7/2014,1.0,-5.0,0.0,10.3,2.0,2,51,1:03 PM,2:42 AM,8:23 AM,6:48 PM,-6.0,-8.0,-3.0,-8.0,25.0,35.0,80.0,0.0,1015.0,1.0,10.0,203,16.0,0,Flagstaff Ridge,1.666666667,100,-111.3121191,39.0702482,0,True
16,2/15/2014,12.0,2.0,0.0,10.4,3.0,3,88,8:01 PM,8:15 AM,8:14 AM,6:58 PM,-1.0,3.0,6.0,3.0,27.0,11.0,62.0,0.0,1015.0,12.0,10.0,232,14.0,0,Flagstaff Ridge,0.666666667,100,-111.3121191,39.0702482,0,False
17,2/15/2014,12.0,2.0,0.0,10.4,3.0,3,88,8:01 PM,8:15 AM,8:14 AM,6:58 PM,-1.0,3.0,6.0,3.0,27.0,11.0,62.0,0.0,1015.0,12.0,10.0,232,14.0,0,Dutch Draw,2.0,50,-109.4192889,40.9361428,0,False
19,2/28/2014,7.0,-1.0,0.0,11.6,2.0,2,0,7:13 AM,6:53 PM,7:56 AM,7:13 PM,-4.0,-1.0,2.0,-1.0,22.0,23.0,65.0,0.0,1009.0,7.0,10.0,209,16.0,0,Flagstaff Ridge,1.0,100,-111.3121191,39.0702482,0,True
20,3/27/2014,7.0,0.0,0.5,11.6,2.0,2,16,5:07 AM,4:32 PM,7:14 AM,7:41 PM,-6.0,-1.0,3.0,-1.0,21.0,18.0,56.0,0.6,1008.0,7.0,10.0,272,16.0,0,Dutch Draw,0.833333333,200,-109.4192889,40.9361428,0,False
21,11/15/2014,4.0,-2.0,0.2,10.0,2.0,2,34,1:22 AM,2:29 PM,8:06 AM,6:05 PM,-5.0,-4.0,0.0,-4.0,22.0,30.0,72.0,0.4,1015.0,4.0,10.0,269,14.0,0,Sugarloaf,1.333333333,400,-110.4798718,39.3308344,0,True
22,12/21/2014,7.0,-3.0,0.0,9.6,2.0,2,0,7:59 AM,6:10 PM,8:39 AM,6:00 PM,-2.0,-3.0,1.0,-3.0,24.0,26.0,83.0,0.0,1015.0,7.0,10.0,233,13.0,0,Dutch Draw,2.0,200,-109.4192889,40.9361428,0,True
