Date,Area,Region,Trigger,Depth,Width
3/22/2020,Park City Ridgeline,Salt Lake,Skier,5,25
3/21/2020,Red Baldy,Salt Lake,Skier,6,30
3/21/2020,Silver Fork,Salt Lake,Skier,,10
3/21/2020,Cardiac Ridge,Salt Lake,Skier,,30
3/20/2020,Y Coulior,Salt Lake,,12,35
3/20/2020,Upper Days,Salt Lake,Skier,6,35
3/20/2020,Little Pine,Salt Lake,Natural,,
3/20/2020,Microwave,Salt Lake,Natural,,
3/20/2020,West Couloir,Salt Lake,Natural,,30
3/18/2020,Pioneer Ridge,Salt Lake,Skier,6,30
3/18/2020,Brighton Perimeter,Salt Lake,Natural,6,70
3/17/2020,Upper Days,Salt Lake,Unknown,6,20
3/17/2020,Caribou Basin,Salt Lake,Natural,18,175
3/15/2020,Lake Mary,Salt Lake,Skier,5,60
3/14/2020,Lake Mary,Salt Lake,Skier,,50
3/14/2020,10420,Salt Lake,Skier,6,40
3/14/2020,Little Superior,Salt Lake,Skier,5,10
3/14/2020,Brighton Perimeter,Salt Lake,Skier,,200
3/11/2020,Little Cottonwood Canyon,Salt Lake,,,
3/11/2020,Porter Fork,Salt Lake,Natural,2,20
3/10/2020,Cardiac Ridge,Salt Lake,Natural,6,70
3/9/2020,Pioneer Ridge,Salt Lake,Skier,8,25
3/9/2020,Raymond Slabs,Salt Lake,,,
3/9/2020,No Name Bowl,Salt Lake,Skier,10,50
3/9/2020,Dog Lake area,Salt Lake,,8,45
3/8/2020,Back Bowls,Salt Lake,Natural,6,80
3/7/2020,Coalpit,Salt Lake,Natural,,
3/4/2020,Tuscarora,Salt Lake,Snowboarder,4,30
3/2/2020,Days Fork,Salt Lake,Skier,5,40
3/2/2020,Crow's Feet,Salt Lake,Skier,5,20
3/2/2020,Superior,Salt Lake,Skier,3,10
3/2/2020,East Bowl,Salt Lake,Skier,5,20
3/2/2020,Cardiac Ridge,Salt Lake,Skier,4,20
3/2/2020,Hellgate,Salt Lake,Skier,2,50
3/2/2020,Preston Peak,Salt Lake,Snowboarder,7,50
3/2/2020,Gobblers,Salt Lake,Skier,4,20
3/2/2020,Days Fork,Salt Lake,Skier,3,25
3/1/2020,Argenta,Salt Lake,Skier,6,40
2/24/2020,Raymond Peak,Salt Lake,Natural,,
2/22/2020,Mt Olympus,Salt Lake,Natural,,
2/21/2020,Coalpit,Salt Lake,Skier,,35
2/21/2020,Hogum,Salt Lake,Skier,18,30
2/20/2020,Raymond Glade,Salt Lake,Snowboarder,8,70
2/18/2020,Holy Moly,Salt Lake,Skier,6,90
2/18/2020,Birthday Chutes,Salt Lake,Skier,10,20
2/17/2020,Toledo Bowl,Salt Lake,Natural,18,800
2/17/2020,Session Mountains,Salt Lake,Snowmobiler,10,150
2/17/2020,Flagstaff Gully,Salt Lake,Skier,8,100
2/17/2020,Raymond Peak,Salt Lake,Natural,17,
2/17/2020,Patsy Marly,Salt Lake,Skier,8,50
2/17/2020,Green Slope,Salt Lake,Skier,18,100
2/17/2020,Reed and Benson Ridge,Salt Lake,Skier,20,100
2/17/2020,Sunset Peak,Salt Lake,Skier,12,100
2/17/2020,Cardiff Pass,Salt Lake,Natural,2,
2/17/2020,Gobblers Knob,Salt Lake,Natural,,800
2/17/2020,Snake Creek,Salt Lake,,,
2/16/2020,Highway to Heaven,Salt Lake,Skier,6,
2/16/2020,Reynolds Peak,Salt Lake,Skier,7,150
2/16/2020,Butler Fork,Salt Lake,Skier,7,100
2/16/2020,Grizzly Gulch,Salt Lake,Skier,4,25
2/16/2020,Flagstaff Ridge,Salt Lake,Snowboarder,6,300
2/16/2020,Alta Ski Area,Salt Lake,,6,45
2/16/2020,Emma Ridges,Salt Lake,Skier,6,80
2/16/2020,Emma Ridges,Salt Lake,Snowboarder,5,200
2/16/2020,Catchers Mit,Salt Lake,Snowboarder,4,100
2/16/2020,Reynolds Peak,Salt Lake,Skier,10,30
2/12/2020,Tuscarora,Salt Lake,Snowboarder,6,10
2/9/2020,First Cornice Bowl,Salt Lake,Snowmobiler,2,300
2/8/2020,Pointy Peak,Salt Lake,Skier,2,300
2/8/2020,Red Rock Chutes,Salt Lake,Natural,10,200
2/7/2020,Santiago Ridge,Salt Lake,Natural,,
2/7/2020,Diving Board,Salt Lake,Natural,,350
2/7/2020,The Spire,Salt Lake,Natural,18,100
2/7/2020,Silver Fork,Salt Lake,Natural,18,500
2/6/2020,Dutch Draw,Salt Lake,Skier,16,20
2/6/2020,Little Cottonwood Canyon,Salt Lake,Natural,,
2/6/2020,Red Baldy,Salt Lake,Natural,,
2/6/2020,Big Horn Peak,Salt Lake,Unknown,5,600
2/6/2020,Memorials,Salt Lake,Natural,12,60
2/6/2020,Reynolds East Face,Salt Lake,Natural,10,"1,000"
2/4/2020,Toledo Bowl,Salt Lake,Skier,4,15
2/3/2020,Memorials,Salt Lake,Natural,2,50
2/3/2020,Wolverine Peak,Salt Lake,Natural,,150
2/1/2020,Sound of Music,Salt Lake,Unknown,,
2/1/2020,Mill B South,Salt Lake,Skier,2,100
2/1/2020,Mill B South,Salt Lake,Snowboarder,3,200
2/1/2020,Pioneer Ridge,Salt Lake,Snowboarder,12,
2/1/2020,Wilson Peak,Salt Lake,Skier,8,50
2/1/2020,Gods Lawnmower,Salt Lake,Natural,4,50
1/31/2020,Superior,Salt Lake,Skier,12,80
1/31/2020,Rainbow Peak,Salt Lake,Skier,18,35
1/30/2020,Superior,Salt Lake,Skier,15,60
1/30/2020,Cardiff Fork,Salt Lake,,,
1/29/2020,Greaseball,Salt Lake,Unknown,6,100
1/29/2020,Little Superior,Salt Lake,Skier,12,70
1/29/2020,Days Fork,Salt Lake,Unknown,18,200
1/28/2020,Superior,Salt Lake,Skier,18,80
1/28/2020,Cardiff Fork,Salt Lake,Skier,4,40
1/28/2020,White Pine,Salt Lake,Snowboarder,6,150
1/28/2020,Tuscarora,Salt Lake,Snowboarder,12,150
1/27/2020,South Monitor Bowl,Salt Lake,Skier,12,100
1/27/2020,Lake Desolation,Salt Lake,Skier,10,60
1/27/2020,"Willows, West Monitor",Salt Lake,Skier,5,20
1/27/2020,Mt Olympus,Salt Lake,Natural,,400
1/27/2020,East Couloir,Salt Lake,Unknown,,
1/27/2020,Scotties Bowl,Salt Lake,Natural,6,
1/27/2020,Tanners Gulch,Salt Lake,Unknown,2,800
1/27/2020,Little Pine,Salt Lake,Natural,,
1/27/2020,Cardiff Fork,Salt Lake,Natural,12,40
1/27/2020,Cardiff Fork,Salt Lake,Skier,10,40
1/27/2020,Toledo Bowl,Salt Lake,Snowboarder,8,40
1/26/2020,Wolverine Cirque,Salt Lake,Skier,4,20
1/26/2020,Y-Not Couloir,Salt Lake,Natural,,
1/25/2020,LSB North,Salt Lake,Skier,8,70
1/25/2020,Stupid Chute,Salt Lake,Skier,3,10
1/25/2020,Hellgate,Salt Lake,Unknown,,
1/25/2020,Broads Fork,Salt Lake,Natural,6,80
1/25/2020,Red Baldy,Salt Lake,Skier,4,30
1/24/2020,Diving Board,Salt Lake,Natural,7,200
