,Dangerous,Location_x,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,precipMM,pressure,tempC,winddirDegree,windspeedKmph,maxtempC_1,mintempC_1,totalSnow_cm_1,sunHour_1,uvIndex_1,maxtempC_2,mintempC_2,totalSnow_cm_2,sunHour_2,uvIndex_2,maxtempC_3,mintempC_3,totalSnow_cm_3,sunHour_3,uvIndex_3
0,True,1,12,3,0.0,6.2,2,-2,5,7,5,15,53,0.9,1015,12,227,11,9.0,-3.0,0.0,7.5,2.0,7.0,-4.0,0.0,7.5,1.0,4.0,-2.0,2.4,6.2,1.0
1,False,1,7,-4,0.0,7.5,1,-5,0,2,0,11,64,0.9,1017,7,169,7,4.0,-2.0,2.4,6.2,1.0,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0
2,False,1,7,-4,0.0,7.5,1,-5,0,2,0,11,64,0.9,1017,7,169,7,4.0,-2.0,2.4,6.2,1.0,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0
3,False,1,7,-4,0.0,7.5,1,-5,0,2,0,11,64,0.9,1017,7,169,7,4.0,-2.0,2.4,6.2,1.0,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0
4,True,1,4,-2,2.4,6.2,1,-3,-1,0,-1,7,76,3.7,1019,4,274,6,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0
5,False,1,4,-2,2.4,6.2,1,-3,-1,0,-1,7,76,3.7,1019,4,274,6,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0
6,True,1,4,-2,2.4,6.2,1,-3,-1,0,-1,7,76,3.7,1019,4,274,6,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0
7,False,1,4,-2,2.4,6.2,1,-3,-1,0,-1,7,76,3.7,1019,4,274,6,1.0,-8.0,0.3,8.9,1.0,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0
8,True,1,1,-8,0.3,8.9,1,-9,-6,-3,-6,10,65,0.4,1014,1,316,7,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0,10.0,3.0,0.0,6.1,2.0
9,False,1,1,-8,0.3,8.9,1,-9,-6,-3,-6,10,65,0.4,1014,1,316,7,1.0,-1.0,4.0,6.1,1.0,5.0,1.0,3.6,6.1,1.0,10.0,3.0,0.0,6.1,2.0
